"annee";"profession_sante";"Num_dep";"hono_sans_depassement_moyens";"depassements_moyens"
"2012";"Gynécologues médicaux et obstétriciens";"36";"114592";"68569"
"2012";"Gynécologues médicaux et obstétriciens";"45";"152209";"55713"
"2012";"Gynécologues médicaux et obstétriciens";"25";"214834";"11635"
"2012";"Gynécologues médicaux et obstétriciens";"14";"170696";"47569"
"2012";"Gynécologues médicaux et obstétriciens";"61";"152378";"15649"
"2012";"Gynécologues médicaux et obstétriciens";"02";"193019";"22220"
"2012";"Gynécologues médicaux et obstétriciens";"60";"154231";"54622"
"2012";"Gynécologues médicaux et obstétriciens";"80";"226577";"13334"
"2012";"Gynécologues médicaux et obstétriciens";"51";"285497";"36472"
"2012";"Gynécologues médicaux et obstétriciens";"52";"118662";"27"
"2012";"Gynécologues médicaux et obstétriciens";"68";"203222";"99053"
"2012";"Gynécologues médicaux et obstétriciens";"35";"171471";"18465"
"2012";"Gynécologues médicaux et obstétriciens";"23";"NS";"NS"
"2012";"Gynécologues médicaux et obstétriciens";"24";"148500";"30040"
"2012";"Gynécologues médicaux et obstétriciens";"40";"145776";"17264"
"2012";"Gynécologues médicaux et obstétriciens";"64";"167180";"29330"
"2012";"Gynécologues médicaux et obstétriciens";"79";"NS";"NS"
"2012";"Gynécologues médicaux et obstétriciens";"48";"NS";"NS"
"2012";"Gynécologues médicaux et obstétriciens";"66";"213935";"23910"
"2012";"Gynécologues médicaux et obstétriciens";"81";"157494";"6359"
"2012";"Gynécologues médicaux et obstétriciens";"03";"135777";"40910"
"2012";"Gynécologues médicaux et obstétriciens";"07";"213475";"45608"
"2012";"Gynécologues médicaux et obstétriciens";"15";"168341";"7285"
"2012";"Gynécologues médicaux et obstétriciens";"05";"NS";"NS"
"2012";"Gynécologues médicaux et obstétriciens";"83";"138070";"59823"
"2012";"Hépato-gastro-entérologues";"75";"135361";"80932"
"2012";"Hépato-gastro-entérologues";"77";"230643";"37875"
"2012";"Hépato-gastro-entérologues";"91";"201701";"34573"
"2012";"Hépato-gastro-entérologues";"18";"NS";"NS"
"2012";"Hépato-gastro-entérologues";"28";"234334";"13796"
"2012";"Hépato-gastro-entérologues";"37";"217208";"1011"
"2012";"Hépato-gastro-entérologues";"41";"248378";"1505"
"2012";"Hépato-gastro-entérologues";"25";"223433";"12167"
"2012";"Hépato-gastro-entérologues";"39";"NS";"NS"
"2012";"Hépato-gastro-entérologues";"89";"NS";"NS"
"2012";"Hépato-gastro-entérologues";"76";"239482";"1038"
"2012";"Hépato-gastro-entérologues";"02";"186800";"9052"
"2012";"Hépato-gastro-entérologues";"54";"224899";"8858"
"2012";"Hépato-gastro-entérologues";"55";"NS";"NS"
"2012";"Hépato-gastro-entérologues";"57";"274575";"3082"
"2012";"Hépato-gastro-entérologues";"67";"182788";"41865"
"2012";"Hépato-gastro-entérologues";"22";"221746";"1314"
"2012";"Hépato-gastro-entérologues";"56";"246556";"291"
"2012";"Hépato-gastro-entérologues";"16";"205656";"3235"
"2012";"Hépato-gastro-entérologues";"23";"NS";"NS"
"2012";"Hépato-gastro-entérologues";"24";"237409";"2527"
"2012";"Hépato-gastro-entérologues";"11";"246225";"33992"
"2012";"Hépato-gastro-entérologues";"34";"173019";"16645"
"2012";"Hépato-gastro-entérologues";"46";"NS";"NS"
"2012";"Hépato-gastro-entérologues";"03";"220093";"3491"
"2012";"Hépato-gastro-entérologues";"07";"NS";"NS"
"2012";"Hépato-gastro-entérologues";"42";"212001";"10701"
"2012";"Hépato-gastro-entérologues";"63";"237722";"38242"
"2012";"Hépato-gastro-entérologues";"69";"198994";"119022"
"2012";"Hépato-gastro-entérologues";"04";"NS";"NS"
"2012";"Hépato-gastro-entérologues";"05";"NS";"NS"
"2012";"Hépato-gastro-entérologues";"83";"177924";"19030"
"2012";"Hépato-gastro-entérologues";"2B";"387576";"960"
"2012";"Infirmiers";"976";"123942";"8"
"2012";"Infirmiers";"78";"77980";"284"
"2012";"Infirmiers";"91";"86313";"51"
"2012";"Infirmiers";"92";"94078";"317"
"2012";"Infirmiers";"93";"102057";"33"
"2012";"Infirmiers";"94";"90011";"44"
"2012";"Infirmiers";"36";"80667";"23"
"2012";"Infirmiers";"37";"77377";"12"
"2012";"Infirmiers";"45";"88813";"12"
"2012";"Infirmiers";"21";"89842";"10"
"2012";"Infirmiers";"39";"69478";"14"
"2012";"Infirmiers";"58";"91088";"21"
"2012";"Infirmiers";"76";"87227";"8"
"2012";"Infirmiers";"80";"88691";"22"
"2012";"Infirmiers";"08";"96227";"11"
"2012";"Infirmiers";"10";"105913";"15"
"2012";"Infirmiers";"51";"96616";"22"
"2012";"Infirmiers";"53";"80774";"11"
"2012";"Infirmiers";"85";"71899";"10"
"2012";"Infirmiers";"17";"83904";"17"
"2012";"Infirmiers";"33";"80865";"11"
"2012";"Infirmiers";"86";"87229";"95"
"2012";"Infirmiers";"09";"71139";"6"
"2012";"Infirmiers";"31";"71804";"5"
"2012";"Infirmiers";"32";"71925";"7"
"2012";"Infirmiers";"34";"81077";"7"
"2012";"Infirmiers";"81";"69743";"4"
"2012";"Infirmiers";"03";"84320";"6"
"2012";"Infirmiers";"26";"67377";"11"
"2012";"Infirmiers";"2A";"94255";"9"
"2012";"Infirmiers";"2B";"95997";"9"
"2012";"Masseurs-kinésithérapeutes";"971";"75252";"831"
"2012";"Masseurs-kinésithérapeutes";"974";"82179";"56"
"2012";"Masseurs-kinésithérapeutes";"77";"83957";"1694"
"2012";"Masseurs-kinésithérapeutes";"78";"72465";"3655"
"2012";"Masseurs-kinésithérapeutes";"94";"74158";"2786"
"2012";"Masseurs-kinésithérapeutes";"18";"87642";"44"
"2012";"Masseurs-kinésithérapeutes";"45";"82632";"293"
"2012";"Masseurs-kinésithérapeutes";"39";"68181";"289"
"2012";"Masseurs-kinésithérapeutes";"58";"92754";"52"
"2012";"Masseurs-kinésithérapeutes";"70";"84297";"86"
"2012";"Masseurs-kinésithérapeutes";"90";"74819";"59"
"2012";"Masseurs-kinésithérapeutes";"61";"80838";"314"
"2012";"Masseurs-kinésithérapeutes";"60";"84256";"282"
"2012";"Masseurs-kinésithérapeutes";"51";"84712";"603"
"2012";"Masseurs-kinésithérapeutes";"52";"98005";"23"
"2012";"Masseurs-kinésithérapeutes";"44";"66669";"130"
"2012";"Masseurs-kinésithérapeutes";"49";"74697";"42"
"2012";"Masseurs-kinésithérapeutes";"56";"69720";"139"
"2012";"Masseurs-kinésithérapeutes";"24";"81449";"78"
"2012";"Masseurs-kinésithérapeutes";"33";"79549";"136"
"2012";"Masseurs-kinésithérapeutes";"47";"88099";"21"
"2012";"Masseurs-kinésithérapeutes";"64";"66736";"211"
"2012";"Masseurs-kinésithérapeutes";"30";"84034";"120"
"2012";"Masseurs-kinésithérapeutes";"31";"69920";"57"
"2012";"Masseurs-kinésithérapeutes";"32";"78836";"29"
"2012";"Masseurs-kinésithérapeutes";"46";"79781";"90"
"2012";"Masseurs-kinésithérapeutes";"48";"91626";"20"
"2012";"Masseurs-kinésithérapeutes";"66";"74643";"31"
"2012";"Masseurs-kinésithérapeutes";"81";"79685";"79"
"2012";"Masseurs-kinésithérapeutes";"82";"80618";"70"
"2012";"Masseurs-kinésithérapeutes";"42";"76174";"202"
"2012";"Masseurs-kinésithérapeutes";"63";"71333";"72"
"2012";"Masseurs-kinésithérapeutes";"74";"56833";"707"
"2012";"Masseurs-kinésithérapeutes";"04";"75203";"133"
"2012";"Masseurs-kinésithérapeutes";"05";"56388";"86"
"2012";"Masseurs-kinésithérapeutes";"13";"89187";"123"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"974";"226787";"197"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"976";"148573";"298"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"78";"132914";"9366"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"91";"135559";"5956"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"92";"119785";"16020"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"93";"165114";"2531"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"28";"155663";"1663"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"36";"153970";"3047"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"70";"156742";"189"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"14";"141124";"1584"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"27";"155809";"1896"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"76";"147331";"317"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"02";"168319";"1247"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"55";"164510";"888"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"67";"144865";"3707"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"49";"132569";"343"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"53";"165798";"885"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"85";"146746";"642"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"29";"135996";"570"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"35";"134985";"194"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"56";"139211";"903"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"19";"141431";"803"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"47";"156571";"223"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"79";"159173";"400"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"86";"138822";"566"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"87";"121058";"736"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"31";"130649";"349"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"46";"138449";"156"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"65";"140087";"268"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"04";"133983";"720"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"83";"133326";"3630"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"2A";"142028";"735"
"2012";"Médecins généralistes (hors médecins à expertise particulière - MEP)";"2B";"141655";"1252"
"2012";"Médecins généralistes à expertise particulière (MEP)";"971";"159100";"11265"
"2012";"Médecins généralistes à expertise particulière (MEP)";"972";"194594";"2427"
"2012";"Médecins généralistes à expertise particulière (MEP)";"973";"NS";"NS"
"2012";"Médecins généralistes à expertise particulière (MEP)";"974";"197208";"2373"
"2012";"Médecins généralistes à expertise particulière (MEP)";"77";"141107";"22613"
"2012";"Médecins généralistes à expertise particulière (MEP)";"92";"107906";"33484"
"2012";"Médecins généralistes à expertise particulière (MEP)";"93";"157663";"19493"
"2012";"Médecins généralistes à expertise particulière (MEP)";"18";"NS";"NS"
"2012";"Médecins généralistes à expertise particulière (MEP)";"45";"149077";"28376"
"2012";"Médecins généralistes à expertise particulière (MEP)";"27";"137062";"23642"
"2012";"Médecins généralistes à expertise particulière (MEP)";"76";"148166";"10895"
"2012";"Médecins généralistes à expertise particulière (MEP)";"02";"155426";"15996"
"2012";"Médecins généralistes à expertise particulière (MEP)";"62";"136848";"16705"
"2012";"Médecins généralistes à expertise particulière (MEP)";"08";"157081";"28461"
"2012";"Médecins généralistes à expertise particulière (MEP)";"51";"150691";"16450"
"2012";"Médecins généralistes à expertise particulière (MEP)";"55";"138231";"2286"
"2012";"Médecins généralistes à expertise particulière (MEP)";"57";"164893";"14060"
"2012";"Médecins généralistes à expertise particulière (MEP)";"88";"111667";"24673"
"2012";"Médecins généralistes à expertise particulière (MEP)";"53";"129384";"25537"
"2012";"Médecins généralistes à expertise particulière (MEP)";"72";"150966";"21750"
"2012";"Médecins généralistes à expertise particulière (MEP)";"16";"135001";"4603"
"2012";"Médecins généralistes à expertise particulière (MEP)";"23";"NS";"NS"
"2012";"Médecins généralistes à expertise particulière (MEP)";"40";"114578";"5935"
"2012";"Médecins généralistes à expertise particulière (MEP)";"47";"134226";"9693"
"2012";"Médecins généralistes à expertise particulière (MEP)";"79";"135304";"3118"
"2012";"Médecins généralistes à expertise particulière (MEP)";"11";"122079";"5516"
"2012";"Médecins généralistes à expertise particulière (MEP)";"12";"114130";"4351"
"2012";"Médecins généralistes à expertise particulière (MEP)";"31";"99200";"7540"
"2012";"Médecins généralistes à expertise particulière (MEP)";"34";"102724";"11185"
"2012";"Médecins généralistes à expertise particulière (MEP)";"01";"108833";"11109"
"2012";"Médecins généralistes à expertise particulière (MEP)";"38";"112874";"13241"
"2012";"Médecins généralistes à expertise particulière (MEP)";"69";"109297";"29973"
"2012";"Médecins généralistes à expertise particulière (MEP)";"74";"116860";"16839"
"2012";"Médecins généralistes à expertise particulière (MEP)";"04";"112421";"15998"
"2012";"Médecins généralistes à expertise particulière (MEP)";"06";"95946";"27584"
"2012";"Médecins généralistes à expertise particulière (MEP)";"83";"130826";"13809"
"2012";"Médecins généralistes à expertise particulière (MEP)";"84";"114304";"17364"
"2012";"Médecins généralistes à expertise particulière (MEP)";"2A";"130290";"9173"
"2012";"Médecins nucléaires";"971";"0";"0"
"2012";"Médecins nucléaires";"973";"0";"0"
"2012";"Médecins nucléaires";"974";"0";"0"
"2012";"Médecins nucléaires";"75";"NS";"NS"
"2012";"Médecins nucléaires";"77";"NS";"NS"
"2012";"Médecins nucléaires";"94";"0";"0"
"2012";"Médecins nucléaires";"28";"NS";"NS"
"2012";"Médecins nucléaires";"41";"NS";"NS"
"2012";"Médecins nucléaires";"45";"NS";"NS"
"2012";"Médecins nucléaires";"39";"0";"0"
"2012";"Médecins nucléaires";"89";"NS";"NS"
"2012";"Médecins nucléaires";"27";"NS";"NS"
"2012";"Médecins nucléaires";"59";"710378";"96"
"2012";"Médecins nucléaires";"60";"NS";"NS"
"2012";"Médecins nucléaires";"52";"NS";"NS"
"2012";"Médecins nucléaires";"55";"0";"0"
"2012";"Médecins nucléaires";"68";"NS";"NS"
"2012";"Médecins nucléaires";"44";"NS";"NS"
"2012";"Médecins nucléaires";"29";"NS";"NS"
"2012";"Médecins nucléaires";"16";"0";"0"
"2012";"Médecins nucléaires";"19";"NS";"NS"
"2012";"Médecins nucléaires";"24";"NS";"NS"
"2012";"Médecins nucléaires";"40";"0";"0"
"2012";"Médecins nucléaires";"86";"NS";"NS"
"2012";"Médecins nucléaires";"09";"NS";"NS"
"2012";"Médecins nucléaires";"03";"0";"0"
"2012";"Médecins nucléaires";"07";"0";"0"
"2012";"Médecins nucléaires";"15";"NS";"NS"
"2012";"Médecins nucléaires";"26";"0";"0"
"2012";"Médecins nucléaires";"73";"0";"0"
"2012";"Médecins nucléaires";"74";"NS";"NS"
"2012";"Médecins nucléaires";"04";"0";"0"
"2012";"Médecins nucléaires";"06";"1233715";"109"
"2012";"Médecins nucléaires";"84";"0";"0"
"2012";"Médecins pathologistes";"972";"NS";"NS"
"2012";"Médecins pathologistes";"973";"0";"0"
"2012";"Médecins pathologistes";"974";"NS";"NS"
"2012";"Médecins pathologistes";"976";"0";"0"
"2012";"Médecins pathologistes";"92";"567235";"39370"
"2012";"Médecins pathologistes";"37";"390581";"13602"
"2012";"Médecins pathologistes";"21";"490190";"142526"
"2012";"Médecins pathologistes";"70";"0";"0"
"2012";"Médecins pathologistes";"71";"NS";"NS"
"2012";"Médecins pathologistes";"90";"NS";"NS"
"2012";"Médecins pathologistes";"14";"458733";"91"
"2012";"Médecins pathologistes";"60";"NS";"NS"
"2012";"Médecins pathologistes";"62";"494830";"1365"
"2012";"Médecins pathologistes";"57";"333928";"398"
"2012";"Médecins pathologistes";"88";"NS";"NS"
"2012";"Médecins pathologistes";"44";"660721";"20982"
"2012";"Médecins pathologistes";"49";"527454";"1619"
"2012";"Médecins pathologistes";"85";"NS";"NS"
"2012";"Médecins pathologistes";"22";"NS";"NS"
"2012";"Médecins pathologistes";"29";"404663";"689"
"2012";"Médecins pathologistes";"56";"NS";"NS"
"2012";"Médecins pathologistes";"16";"NS";"NS"
"2012";"Médecins pathologistes";"24";"NS";"NS"
"2012";"Médecins pathologistes";"33";"408292";"76446"
"2012";"Médecins pathologistes";"79";"NS";"NS"
"2012";"Médecins pathologistes";"32";"NS";"NS"
"2012";"Médecins pathologistes";"34";"453199";"51"
"2012";"Médecins pathologistes";"66";"NS";"NS"
"2012";"Médecins pathologistes";"81";"NS";"NS"
"2012";"Médecins pathologistes";"07";"0";"0"
"2012";"Médecins pathologistes";"63";"691918";"323"
"2012";"Médecins pathologistes";"74";"434428";"127888"
"2012";"Médecins pathologistes";"04";"NS";"NS"
"2012";"Médecins pathologistes";"06";"510245";"1236"
"2012";"Médecins pathologistes";"2B";"NS";"NS"
"2012";"Neurologues";"976";"0";"0"
"2012";"Neurologues";"78";"163177";"37197"
"2012";"Neurologues";"93";"200986";"18326"
"2012";"Neurologues";"37";"207373";"153"
"2012";"Neurologues";"21";"231702";"9417"
"2012";"Neurologues";"58";"NS";"NS"
"2012";"Neurologues";"70";"0";"0"
"2012";"Neurologues";"89";"NS";"NS"
"2012";"Neurologues";"61";"0";"0"
"2012";"Neurologues";"02";"NS";"NS"
"2012";"Neurologues";"80";"210276";"173"
"2012";"Neurologues";"51";"277071";"24561"
"2012";"Neurologues";"52";"0";"0"
"2012";"Neurologues";"55";"0";"0"
"2012";"Neurologues";"57";"172853";"2441"
"2012";"Neurologues";"88";"NS";"NS"
"2012";"Neurologues";"35";"180932";"14974"
"2012";"Neurologues";"17";"144912";"6762"
"2012";"Neurologues";"19";"NS";"NS"
"2012";"Neurologues";"47";"NS";"NS"
"2012";"Neurologues";"86";"111878";"19312"
"2012";"Neurologues";"11";"NS";"NS"
"2012";"Neurologues";"34";"156862";"5726"
"2012";"Neurologues";"48";"0";"0"
"2012";"Neurologues";"81";"230526";"36"
"2012";"Neurologues";"26";"NS";"NS"
"2012";"Neurologues";"38";"184675";"12924"
"2012";"Neurologues";"05";"NS";"NS"
"2012";"Neurologues";"84";"188477";"11029"
"2012";"Néphrologues";"974";"382645";"637"
"2012";"Néphrologues";"92";"221269";"14996"
"2012";"Néphrologues";"93";"225612";"37"
"2012";"Néphrologues";"94";"289362";"503"
"2012";"Néphrologues";"36";"NS";"NS"
"2012";"Néphrologues";"37";"NS";"NS"
"2012";"Néphrologues";"45";"290086";"4495"
"2012";"Néphrologues";"39";"0";"0"
"2012";"Néphrologues";"70";"0";"0"
"2012";"Néphrologues";"89";"0";"0"
"2012";"Néphrologues";"14";"NS";"NS"
"2012";"Néphrologues";"27";"NS";"NS"
"2012";"Néphrologues";"02";"0";"0"
"2012";"Néphrologues";"60";"NS";"NS"
"2012";"Néphrologues";"80";"NS";"NS"
"2012";"Néphrologues";"08";"0";"0"
"2012";"Néphrologues";"51";"0";"0"
"2012";"Néphrologues";"54";"NS";"NS"
"2012";"Néphrologues";"53";"0";"0"
"2012";"Néphrologues";"85";"0";"0"
"2012";"Néphrologues";"22";"0";"0"
"2012";"Néphrologues";"29";"NS";"NS"
"2012";"Néphrologues";"17";"0";"0"
"2012";"Néphrologues";"47";"0";"0"
"2012";"Néphrologues";"64";"237873";"63"
"2012";"Néphrologues";"86";"NS";"NS"
"2012";"Néphrologues";"12";"0";"0"
"2012";"Néphrologues";"46";"0";"0"
"2012";"Néphrologues";"48";"0";"0"
"2012";"Néphrologues";"65";"NS";"NS"
"2012";"Néphrologues";"66";"NS";"NS"
"2012";"Néphrologues";"81";"220048";"22"
"2012";"Néphrologues";"43";"0";"0"
"2012";"Néphrologues";"69";"288796";"91"
"2012";"Néphrologues";"05";"NS";"NS"
"2012";"Néphrologues";"83";"249990";"62"
"2012";"Ophtalmologues";"971";"278936";"40284"
"2012";"Ophtalmologues";"972";"267115";"27765"
"2012";"Ophtalmologues";"973";"NS";"NS"
"2012";"Ophtalmologues";"77";"234701";"105024"
"2012";"Ophtalmologues";"93";"203629";"86609"
"2012";"Ophtalmologues";"18";"285976";"35959"
"2012";"Ophtalmologues";"28";"381100";"81973"
"2012";"Ophtalmologues";"36";"288098";"17265"
"2012";"Ophtalmologues";"37";"243742";"86229"
"2012";"Ophtalmologues";"41";"251387";"31261"
"2012";"Ophtalmologues";"45";"301634";"132510"
"2012";"Ophtalmologues";"39";"208338";"91348"
"2012";"Ophtalmologues";"58";"297475";"97261"
"2012";"Ophtalmologues";"71";"297748";"96185"
"2012";"Ophtalmologues";"89";"325475";"125663"
"2012";"Ophtalmologues";"90";"244699";"3217"
"2012";"Ophtalmologues";"76";"264851";"32530"
"2012";"Ophtalmologues";"10";"244789";"3508"
"2012";"Ophtalmologues";"51";"234935";"119948"
"2012";"Ophtalmologues";"52";"476247";"113037"
"2012";"Ophtalmologues";"55";"313439";"105387"
"2012";"Ophtalmologues";"29";"284319";"30554"
"2012";"Ophtalmologues";"35";"284999";"40131"
"2012";"Ophtalmologues";"17";"300234";"99514"
"2012";"Ophtalmologues";"19";"NS";"NS"
"2012";"Ophtalmologues";"24";"254941";"40627"
"2012";"Ophtalmologues";"33";"246958";"68912"
"2012";"Ophtalmologues";"47";"286613";"77297"
"2012";"Ophtalmologues";"64";"267278";"108215"
"2012";"Ophtalmologues";"87";"322805";"62399"
"2012";"Ophtalmologues";"11";"285240";"50903"
"2012";"Ophtalmologues";"66";"269113";"49563"
"2012";"Ophtalmologues";"26";"272637";"81105"
"2012";"Ophtalmologues";"38";"209428";"81776"
"2012";"Ophtalmologues";"42";"250331";"54082"
"2012";"Ophtalmologues";"63";"210149";"58379"
"2012";"Ophtalmologues";"69";"199518";"127874"
"2012";"Ophtalmologues";"73";"293290";"112703"
"2012";"Ophtalmologues";"74";"212485";"87284"
"2012";"Ophtalmologues";"06";"207861";"111761"
"2012";"Ophtalmologues";"13";"216862";"57492"
"2012";"Ophtalmologues";"2B";"219237";"115092"
"2012";"Orthophonistes";"971";"65697";"74"
"2012";"Orthophonistes";"972";"53003";"3"
"2012";"Orthophonistes";"973";"51040";"3"
"2012";"Orthophonistes";"974";"50553";"1"
"2012";"Orthophonistes";"976";"NS";"NS"
"2012";"Orthophonistes";"91";"50020";"3"
"2012";"Orthophonistes";"92";"49170";"90"
"2012";"Orthophonistes";"93";"57436";"33"
"2012";"Orthophonistes";"95";"56754";"30"
"2012";"Orthophonistes";"28";"55243";"6"
"2012";"Orthophonistes";"36";"66032";"0"
"2012";"Orthophonistes";"58";"52713";"0"
"2012";"Orthophonistes";"89";"55182";"2"
"2012";"Orthophonistes";"50";"49959";"2"
"2012";"Orthophonistes";"76";"54760";"6"
"2012";"Orthophonistes";"80";"52990";"1"
"2012";"Orthophonistes";"54";"52402";"2"
"2012";"Orthophonistes";"67";"50409";"3"
"2012";"Orthophonistes";"68";"48772";"37"
"2012";"Orthophonistes";"88";"55922";"0"
"2012";"Orthophonistes";"44";"45149";"2"
"2012";"Orthophonistes";"85";"49914";"3"
"2012";"Orthophonistes";"29";"46839";"1"
"2012";"Orthophonistes";"16";"44431";"2"
"2012";"Orthophonistes";"19";"55501";"0"
"2012";"Orthophonistes";"23";"80282";"0"
"2012";"Orthophonistes";"64";"49857";"2"
"2012";"Orthophonistes";"86";"46660";"1"
"2012";"Orthophonistes";"09";"44224";"2"
"2012";"Orthophonistes";"11";"52254";"1"
"2012";"Orthophonistes";"31";"46708";"2"
"2012";"Orthophonistes";"32";"43129";"0"
"2012";"Orthophonistes";"82";"50338";"48"
"2012";"Orthophonistes";"01";"47023";"1"
