"annee";"profession_sante";"Num_dep";"nombre_patients_uniques"
2018;"Gynécologues médicaux et obstétriciens";"46";"NS"
2018;"Gynécologues médicaux et obstétriciens";"66";"2098"
2018;"Gynécologues médicaux et obstétriciens";"38";"1745"
2018;"Gynécologues médicaux et obstétriciens";"69";"1515"
2018;"Gynécologues médicaux et obstétriciens";"84";"1969"
2018;"Hépato-gastro-entérologues";"974";"1643"
2018;"Hépato-gastro-entérologues";"78";"1498"
2018;"Hépato-gastro-entérologues";"91";"1447"
2018;"Hépato-gastro-entérologues";"92";"1210"
2018;"Hépato-gastro-entérologues";"94";"1265"
2018;"Hépato-gastro-entérologues";"95";"1787"
2018;"Hépato-gastro-entérologues";"18";"1640"
2018;"Hépato-gastro-entérologues";"28";"1735"
2018;"Hépato-gastro-entérologues";"41";"2283"
2018;"Hépato-gastro-entérologues";"25";"1380"
2018;"Hépato-gastro-entérologues";"39";"NS"
2018;"Hépato-gastro-entérologues";"89";"2296"
2018;"Hépato-gastro-entérologues";"14";"1641"
2018;"Hépato-gastro-entérologues";"50";"1533"
2018;"Hépato-gastro-entérologues";"60";"1696"
2018;"Hépato-gastro-entérologues";"62";"1479"
2018;"Hépato-gastro-entérologues";"80";"1509"
2018;"Hépato-gastro-entérologues";"68";"1428"
2018;"Hépato-gastro-entérologues";"53";"853"
2018;"Hépato-gastro-entérologues";"29";"1345"
2018;"Hépato-gastro-entérologues";"19";"1320"
2018;"Hépato-gastro-entérologues";"23";"NS"
2018;"Hépato-gastro-entérologues";"40";"1107"
2018;"Hépato-gastro-entérologues";"30";"1289"
2018;"Hépato-gastro-entérologues";"31";"1538"
2018;"Hépato-gastro-entérologues";"32";"NS"
2018;"Hépato-gastro-entérologues";"65";"NS"
2018;"Hépato-gastro-entérologues";"81";"1755"
2018;"Hépato-gastro-entérologues";"82";"1717"
2018;"Hépato-gastro-entérologues";"01";"1128"
2018;"Hépato-gastro-entérologues";"07";"NS"
2018;"Hépato-gastro-entérologues";"26";"1380"
2018;"Hépato-gastro-entérologues";"43";"NS"
2018;"Hépato-gastro-entérologues";"73";"1745"
2018;"Hépato-gastro-entérologues";"74";"1154"
2018;"Hépato-gastro-entérologues";"04";"970"
2018;"Hépato-gastro-entérologues";"13";"1099"
2018;"Hépato-gastro-entérologues";"2A";"1417"
2018;"Infirmiers";"973";"70"
2018;"Infirmiers";"976";"90"
2018;"Infirmiers";"91";"264"
2018;"Infirmiers";"92";"240"
2018;"Infirmiers";"37";"384"
2018;"Infirmiers";"45";"485"
2018;"Infirmiers";"21";"297"
2018;"Infirmiers";"25";"282"
2018;"Infirmiers";"90";"277"
2018;"Infirmiers";"61";"413"
2018;"Infirmiers";"02";"285"
2018;"Infirmiers";"10";"401"
2018;"Infirmiers";"52";"449"
2018;"Infirmiers";"57";"176"
2018;"Infirmiers";"88";"415"
2018;"Infirmiers";"44";"380"
2018;"Infirmiers";"56";"264"
2018;"Infirmiers";"19";"221"
2018;"Infirmiers";"33";"147"
2018;"Infirmiers";"40";"255"
2018;"Infirmiers";"47";"222"
2018;"Infirmiers";"64";"162"
2018;"Infirmiers";"79";"544"
2018;"Infirmiers";"12";"248"
2018;"Infirmiers";"30";"133"
2018;"Infirmiers";"65";"181"
2018;"Infirmiers";"81";"187"
2018;"Infirmiers";"82";"214"
2018;"Infirmiers";"07";"238"
2018;"Infirmiers";"15";"346"
2018;"Infirmiers";"26";"168"
2018;"Infirmiers";"42";"243"
2018;"Infirmiers";"69";"160"
2018;"Infirmiers";"06";"108"
2018;"Infirmiers";"13";"99"
2018;"Infirmiers";"2B";"88"
2018;"Masseurs-kinésithérapeutes";"971";"186"
2018;"Masseurs-kinésithérapeutes";"973";"217"
2018;"Masseurs-kinésithérapeutes";"974";"241"
2018;"Masseurs-kinésithérapeutes";"976";"112"
2018;"Masseurs-kinésithérapeutes";"75";"182"
2018;"Masseurs-kinésithérapeutes";"78";"218"
2018;"Masseurs-kinésithérapeutes";"92";"199"
2018;"Masseurs-kinésithérapeutes";"37";"247"
2018;"Masseurs-kinésithérapeutes";"45";"251"
2018;"Masseurs-kinésithérapeutes";"25";"255"
2018;"Masseurs-kinésithérapeutes";"71";"258"
2018;"Masseurs-kinésithérapeutes";"50";"253"
2018;"Masseurs-kinésithérapeutes";"02";"276"
2018;"Masseurs-kinésithérapeutes";"59";"202"
2018;"Masseurs-kinésithérapeutes";"80";"255"
2018;"Masseurs-kinésithérapeutes";"10";"250"
2018;"Masseurs-kinésithérapeutes";"52";"267"
2018;"Masseurs-kinésithérapeutes";"54";"296"
2018;"Masseurs-kinésithérapeutes";"88";"277"
2018;"Masseurs-kinésithérapeutes";"49";"262"
2018;"Masseurs-kinésithérapeutes";"53";"286"
2018;"Masseurs-kinésithérapeutes";"33";"240"
2018;"Masseurs-kinésithérapeutes";"47";"257"
2018;"Masseurs-kinésithérapeutes";"64";"217"
2018;"Masseurs-kinésithérapeutes";"11";"222"
2018;"Masseurs-kinésithérapeutes";"46";"217"
2018;"Masseurs-kinésithérapeutes";"48";"173"
2018;"Masseurs-kinésithérapeutes";"66";"205"
2018;"Masseurs-kinésithérapeutes";"82";"262"
2018;"Masseurs-kinésithérapeutes";"07";"223"
2018;"Masseurs-kinésithérapeutes";"42";"248"
2018;"Masseurs-kinésithérapeutes";"43";"259"
2018;"Masseurs-kinésithérapeutes";"63";"222"
2018;"Masseurs-kinésithérapeutes";"69";"220"
2018;"Masseurs-kinésithérapeutes";"74";"194"
2018;"Masseurs-kinésithérapeutes";"04";"179"
2018;"Masseurs-kinésithérapeutes";"06";"202"
2018;"Masseurs-kinésithérapeutes";"83";"189"
2018;"Masseurs-kinésithérapeutes";"84";"208"
2018;"Masseurs-kinésithérapeutes";"2B";"183"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"972";"1835"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"974";"2140"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"77";"1816"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"91";"1888"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"93";"2068"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"94";"1765"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"95";"1978"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"37";"1524"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"45";"1763"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"21";"1461"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"25";"1589"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"39";"1523"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"89";"1532"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"14";"1608"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"76";"1587"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"52";"1529"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"55";"1485"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"68";"1578"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"22";"1650"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"29";"1480"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"56";"1603"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"19";"1418"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"64";"1413"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"79";"1657"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"12";"1594"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"48";"1471"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"65";"1475"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"66";"1642"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"82";"1643"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"26";"1563"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"38";"1562"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"42";"1595"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"74";"1643"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"05";"1473"
2018;"Médecins généralistes (hors médecins à expertise particulière - MEP)";"83";"1460"
2018;"Médecins généralistes à expertise particulière (MEP)";"972";"1738"
2018;"Médecins généralistes à expertise particulière (MEP)";"974";"2129"
2018;"Médecins généralistes à expertise particulière (MEP)";"976";"NS"
2018;"Médecins généralistes à expertise particulière (MEP)";"75";"1155"
2018;"Médecins généralistes à expertise particulière (MEP)";"78";"1356"
2018;"Médecins généralistes à expertise particulière (MEP)";"18";"3058"
2018;"Médecins généralistes à expertise particulière (MEP)";"36";"3595"
2018;"Médecins généralistes à expertise particulière (MEP)";"37";"1738"
2018;"Médecins généralistes à expertise particulière (MEP)";"41";"1477"
2018;"Médecins généralistes à expertise particulière (MEP)";"45";"2166"
2018;"Médecins généralistes à expertise particulière (MEP)";"58";"1590"
2018;"Médecins généralistes à expertise particulière (MEP)";"71";"1475"
2018;"Médecins généralistes à expertise particulière (MEP)";"90";"1981"
2018;"Médecins généralistes à expertise particulière (MEP)";"14";"1927"
2018;"Médecins généralistes à expertise particulière (MEP)";"27";"1899"
2018;"Médecins généralistes à expertise particulière (MEP)";"50";"2000"
2018;"Médecins généralistes à expertise particulière (MEP)";"76";"1974"
2018;"Médecins généralistes à expertise particulière (MEP)";"60";"1459"
2018;"Médecins généralistes à expertise particulière (MEP)";"80";"1472"
2018;"Médecins généralistes à expertise particulière (MEP)";"10";"1747"
2018;"Médecins généralistes à expertise particulière (MEP)";"52";"1302"
2018;"Médecins généralistes à expertise particulière (MEP)";"55";"2043"
2018;"Médecins généralistes à expertise particulière (MEP)";"22";"1450"
2018;"Médecins généralistes à expertise particulière (MEP)";"35";"1485"
2018;"Médecins généralistes à expertise particulière (MEP)";"24";"1133"
2018;"Médecins généralistes à expertise particulière (MEP)";"33";"1214"
2018;"Médecins généralistes à expertise particulière (MEP)";"47";"1735"
2018;"Médecins généralistes à expertise particulière (MEP)";"79";"1728"
2018;"Médecins généralistes à expertise particulière (MEP)";"09";"1469"
2018;"Médecins généralistes à expertise particulière (MEP)";"12";"1347"
2018;"Médecins généralistes à expertise particulière (MEP)";"32";"1402"
2018;"Médecins généralistes à expertise particulière (MEP)";"65";"1488"
2018;"Médecins généralistes à expertise particulière (MEP)";"01";"1520"
2018;"Médecins généralistes à expertise particulière (MEP)";"43";"861"
2018;"Médecins généralistes à expertise particulière (MEP)";"73";"1520"
2018;"Médecins généralistes à expertise particulière (MEP)";"13";"1435"
2018;"Médecins généralistes à expertise particulière (MEP)";"83";"1768"
2018;"Médecins nucléaires";"971";"NS"
2018;"Médecins nucléaires";"973";"0"
2018;"Médecins nucléaires";"976";"0"
2018;"Médecins nucléaires";"77";"2816"
2018;"Médecins nucléaires";"78";"NS"
2018;"Médecins nucléaires";"94";"0"
2018;"Médecins nucléaires";"18";"NS"
2018;"Médecins nucléaires";"28";"NS"
2018;"Médecins nucléaires";"36";"NS"
2018;"Médecins nucléaires";"37";"1441"
2018;"Médecins nucléaires";"45";"1665"
2018;"Médecins nucléaires";"58";"NS"
2018;"Médecins nucléaires";"70";"NS"
2018;"Médecins nucléaires";"89";"NS"
2018;"Médecins nucléaires";"14";"1636"
2018;"Médecins nucléaires";"27";"NS"
2018;"Médecins nucléaires";"76";"NS"
2018;"Médecins nucléaires";"59";"1873"
2018;"Médecins nucléaires";"08";"NS"
2018;"Médecins nucléaires";"72";"2733"
2018;"Médecins nucléaires";"29";"1296"
2018;"Médecins nucléaires";"17";"NS"
2018;"Médecins nucléaires";"23";"0"
2018;"Médecins nucléaires";"87";"NS"
2018;"Médecins nucléaires";"12";"NS"
2018;"Médecins nucléaires";"32";"0"
2018;"Médecins nucléaires";"66";"NS"
2018;"Médecins nucléaires";"03";"0"
2018;"Médecins nucléaires";"15";"NS"
2018;"Médecins nucléaires";"43";"0"
2018;"Médecins nucléaires";"63";"NS"
2018;"Médecins nucléaires";"74";"1158"
2018;"Médecins nucléaires";"05";"0"
2018;"Médecins nucléaires";"06";"3232"
2018;"Médecins nucléaires";"2B";"0"
2018;"Médecins pathologistes";"971";"NS"
2018;"Médecins pathologistes";"974";"12205"
2018;"Médecins pathologistes";"77";"13005"
2018;"Médecins pathologistes";"91";"13030"
2018;"Médecins pathologistes";"36";"NS"
2018;"Médecins pathologistes";"39";"NS"
2018;"Médecins pathologistes";"58";"NS"
2018;"Médecins pathologistes";"14";"9095"
2018;"Médecins pathologistes";"27";"NS"
2018;"Médecins pathologistes";"60";"9101"
2018;"Médecins pathologistes";"52";"0"
2018;"Médecins pathologistes";"57";"10399"
2018;"Médecins pathologistes";"56";"7412"
2018;"Médecins pathologistes";"11";"6137"
2018;"Médecins pathologistes";"31";"9283"
2018;"Médecins pathologistes";"66";"10709"
2018;"Médecins pathologistes";"74";"12222"
2018;"Médecins pathologistes";"84";"8813"
2018;"Médecins pathologistes";"2A";"NS"
2018;"Médecins pathologistes";"2B";"NS"
2018;"Médecins vasculaires";"93";"0"
2018;"Médecins vasculaires";"94";"0"
2018;"Médecins vasculaires";"28";"0"
2018;"Médecins vasculaires";"36";"0"
2018;"Médecins vasculaires";"45";"0"
2018;"Médecins vasculaires";"21";"0"
2018;"Médecins vasculaires";"58";"0"
2018;"Médecins vasculaires";"70";"0"
2018;"Médecins vasculaires";"89";"0"
2018;"Médecins vasculaires";"14";"0"
2018;"Médecins vasculaires";"76";"NS"
2018;"Médecins vasculaires";"62";"0"
2018;"Médecins vasculaires";"80";"0"
2018;"Médecins vasculaires";"10";"0"
2018;"Médecins vasculaires";"51";"0"
2018;"Médecins vasculaires";"52";"0"
2018;"Médecins vasculaires";"67";"0"
2018;"Médecins vasculaires";"44";"0"
2018;"Médecins vasculaires";"53";"0"
2018;"Médecins vasculaires";"72";"0"
2018;"Médecins vasculaires";"85";"0"
2018;"Médecins vasculaires";"56";"0"
2018;"Médecins vasculaires";"17";"0"
2018;"Médecins vasculaires";"19";"0"
2018;"Médecins vasculaires";"23";"0"
2018;"Médecins vasculaires";"24";"0"
2018;"Médecins vasculaires";"47";"0"
2018;"Médecins vasculaires";"86";"0"
2018;"Médecins vasculaires";"87";"0"
2018;"Médecins vasculaires";"09";"0"
2018;"Médecins vasculaires";"12";"0"
2018;"Médecins vasculaires";"31";"0"
2018;"Médecins vasculaires";"34";"0"
2018;"Médecins vasculaires";"46";"0"
2018;"Médecins vasculaires";"81";"NS"
2018;"Médecins vasculaires";"15";"0"
2018;"Médecins vasculaires";"05";"0"
2018;"Médecins vasculaires";"06";"NS"
2018;"Médecins vasculaires";"2A";"0"
2018;"Médecins vasculaires";"2B";"0"
2018;"Neurologues";"972";"1423"
2018;"Neurologues";"974";"1410"
2018;"Neurologues";"78";"1180"
2018;"Neurologues";"91";"1722"
2018;"Neurologues";"92";"1231"
2018;"Neurologues";"94";"1148"
2018;"Neurologues";"18";"NS"
2018;"Neurologues";"28";"NS"
2018;"Neurologues";"45";"1192"
2018;"Neurologues";"25";"1094"
2018;"Neurologues";"58";"NS"
2018;"Neurologues";"70";"NS"
2018;"Neurologues";"61";"NS"
2018;"Neurologues";"02";"1534"
2018;"Neurologues";"51";"2589"
2018;"Neurologues";"49";"1511"
2018;"Neurologues";"56";"1269"
2018;"Neurologues";"33";"1487"
2018;"Neurologues";"64";"1228"
2018;"Neurologues";"86";"1339"
2018;"Neurologues";"30";"1857"
2018;"Neurologues";"46";"NS"
2018;"Neurologues";"65";"NS"
2018;"Neurologues";"82";"NS"
2018;"Neurologues";"03";"NS"
2018;"Neurologues";"15";"NS"
2018;"Neurologues";"26";"1467"
2018;"Neurologues";"38";"1524"
2018;"Neurologues";"73";"980"
2018;"Neurologues";"04";"NS"
2018;"Neurologues";"13";"1044"
2018;"Neurologues";"84";"1589"
2018;"Neurologues";"2A";"NS"
2018;"Neurologues";"2B";"NS"
2018;"Néphrologues";"972";"361"
2018;"Néphrologues";"973";"NS"
2018;"Néphrologues";"18";"NS"
2018;"Néphrologues";"36";"NS"
2018;"Néphrologues";"37";"NS"
2018;"Néphrologues";"21";"NS"
2018;"Néphrologues";"25";"0"
2018;"Néphrologues";"39";"0"
2018;"Néphrologues";"58";"0"
2018;"Néphrologues";"89";"NS"
2018;"Néphrologues";"27";"0"
2018;"Néphrologues";"61";"0"
2018;"Néphrologues";"59";"889"
2018;"Néphrologues";"68";"442"
2018;"Néphrologues";"88";"NS"
2018;"Néphrologues";"72";"NS"
2018;"Néphrologues";"35";"0"
2018;"Néphrologues";"56";"NS"
2018;"Néphrologues";"19";"0"
2018;"Néphrologues";"47";"0"
2018;"Néphrologues";"64";"639"
2018;"Néphrologues";"86";"NS"
2018;"Néphrologues";"87";"0"
2018;"Néphrologues";"11";"NS"
2018;"Néphrologues";"32";"0"
2018;"Néphrologues";"66";"656"
2018;"Néphrologues";"81";"529"
2018;"Néphrologues";"01";"NS"
2018;"Néphrologues";"42";"NS"
2018;"Néphrologues";"63";"0"
2018;"Néphrologues";"84";"502"
2018;"Ophtalmologues";"972";"3649"
2018;"Ophtalmologues";"973";"4529"
2018;"Ophtalmologues";"976";"0"
2018;"Ophtalmologues";"78";"3601"
2018;"Ophtalmologues";"93";"4275"
2018;"Ophtalmologues";"36";"3914"
2018;"Ophtalmologues";"45";"5498"
2018;"Ophtalmologues";"21";"6988"
2018;"Ophtalmologues";"39";"7094"
2018;"Ophtalmologues";"58";"5557"
2018;"Ophtalmologues";"71";"4057"
2018;"Ophtalmologues";"61";"3826"
2018;"Ophtalmologues";"60";"5225"
2018;"Ophtalmologues";"08";"5081"
2018;"Ophtalmologues";"54";"3903"
2018;"Ophtalmologues";"44";"4797"
2018;"Ophtalmologues";"49";"5207"
2018;"Ophtalmologues";"53";"4702"
2018;"Ophtalmologues";"16";"5327"
2018;"Ophtalmologues";"79";"5344"
2018;"Ophtalmologues";"86";"4426"
2018;"Ophtalmologues";"87";"4332"
2018;"Ophtalmologues";"09";"5329"
2018;"Ophtalmologues";"32";"3855"
2018;"Ophtalmologues";"46";"5302"
2018;"Ophtalmologues";"82";"4906"
2018;"Ophtalmologues";"38";"4718"
2018;"Ophtalmologues";"63";"3712"
2018;"Ophtalmologues";"73";"4009"
2018;"Ophtalmologues";"2B";"3391"
2018;"Orthophonistes";"971";"73"
2018;"Orthophonistes";"974";"59"
2018;"Orthophonistes";"976";"NS"
2018;"Orthophonistes";"91";"73"
2018;"Orthophonistes";"94";"65"
2018;"Orthophonistes";"18";"79"
2018;"Orthophonistes";"41";"86"
2018;"Orthophonistes";"21";"88"
2018;"Orthophonistes";"39";"87"
2018;"Orthophonistes";"71";"90"
2018;"Orthophonistes";"50";"83"
2018;"Orthophonistes";"61";"94"
2018;"Orthophonistes";"08";"94"
2018;"Orthophonistes";"10";"91"
2018;"Orthophonistes";"54";"94"
2018;"Orthophonistes";"22";"84"
2018;"Orthophonistes";"29";"80"
2018;"Orthophonistes";"35";"83"
2018;"Orthophonistes";"16";"97"
2018;"Orthophonistes";"19";"76"
2018;"Orthophonistes";"24";"89"
2018;"Orthophonistes";"33";"75"
2018;"Orthophonistes";"79";"106"
2018;"Orthophonistes";"12";"87"
2018;"Orthophonistes";"31";"77"
2018;"Orthophonistes";"48";"92"
2018;"Orthophonistes";"07";"76"
2018;"Orthophonistes";"38";"79"
2018;"Orthophonistes";"05";"72"
2018;"Orthophonistes";"06";"71"
2018;"Orthophonistes";"83";"80"
2018;"Orthophonistes";"84";"82"
2018;"Orthoptistes";"972";"466"
2018;"Orthoptistes";"974";"1935"
2018;"Orthoptistes";"75";"443"
2018;"Orthoptistes";"92";"441"
2018;"Orthoptistes";"94";"459"
2018;"Orthoptistes";"18";"NS"
2018;"Orthoptistes";"28";"567"
2018;"Orthoptistes";"37";"658"
2018;"Orthoptistes";"45";"614"
2018;"Orthoptistes";"21";"448"
2018;"Orthoptistes";"25";"1045"
2018;"Orthoptistes";"58";"NS"
2018;"Orthoptistes";"60";"523"
2018;"Orthoptistes";"80";"708"
2018;"Orthoptistes";"08";"NS"
2018;"Orthoptistes";"51";"539"
2018;"Orthoptistes";"54";"511"
2018;"Orthoptistes";"44";"803"
2018;"Orthoptistes";"19";"1359"
2018;"Orthoptistes";"24";"928"
2018;"Orthoptistes";"64";"655"
2018;"Orthoptistes";"79";"584"
2018;"Orthoptistes";"87";"648"
2018;"Orthoptistes";"12";"706"
2018;"Orthoptistes";"30";"327"
2018;"Orthoptistes";"31";"579"
2018;"Orthoptistes";"03";"838"
2018;"Orthoptistes";"07";"294"
2018;"Orthoptistes";"15";"730"
2018;"Orthoptistes";"26";"617"
2018;"Orthoptistes";"43";"885"
2018;"Orthoptistes";"63";"866"
2018;"Orthoptistes";"13";"827"
2018;"Orthoptistes";"83";"468"
2018;"Oto-rhino-laryngologistes";"971";"1849"
